LINE,BLUE_GY,TESTER
10460,139.04,209
10461,131.4675,209
10462,132.1775,209
10463,121.4775,209
10464,138.7866836,209
10465,130.01,209
10466,129.405,209
10467,136.59,209
10468,158.33,209
10469,128.865,209
10470,144.7125,209
10471,128.58,209
10472,144.5475,209
10473,122.865,209
10474,142.4475,209
10475,158.0863173,209
10476,162.1279137,209
10477,153.320257,209
10478,159.4440621,209
10479,148.5796954,209
10480,161.666951,209
10481,167.7948575,209
10482,170.7672327,209
10483,154.4035476,209
10484,153.5046085,209
10485,158.0883029,209
10486,169.6295764,209
10487,164.9196085,209
10488,139.4145674,209
10489,156.4348042,209
10490,173.210623,209
10491,161.1648424,209
10492,170.3752491,209
10493,174.2648734,209
10494,168.3620858,209
10495,162.8692879,209
10496,170.6934861,209
10497,171.3881238,209
10498,129.1536467,209
10499,177.6591466,209
10500,175.9089699,209
10501,153.185979,209
10502,120.6264935,209
10503,151.0475,209
10504,145.5936705,209
10505,178.4844349,209
10506,162.8004987,209
10507,167.7512929,209
10508,120.0916042,209
10509,172.5515326,209
10510,162.8411342,209
10511,163.9416479,209
10512,144.921687,209
10513,161.4249926,209
10514,163.095,209
10515,136.0624314,209
10516,153.637267,209
10517,150.337375,209
10518,169.4621953,209
10519,149.445,209
10520,164.6025791,209
10521,161.4970197,209
10522,153.975,209
10523,160.2097527,209
10524,140.966011,209
10525,149.8391893,209
10526,125.1879539,209
10527,165.6754244,209
10528,153.87,209
10529,143.7647902,209
10530,149.1600901,209
10531,163.7851199,209
10532,163.879773,209
10533,165.3227436,209
10534,170.7884216,209
10535,121.629867,209
10536,130.9749872,209
10537,153.4016479,209
10538,145.9695267,209
10539,164.0417915,209
10540,146.2767224,209
10541,166.3040836,209
10542,160.1031401,209
10543,130.4691612,209
10544,159.5391486,209
10545,141.5303017,209
10546,162.6057424,209
10547,150.414934,209
10548,131.3626875,209
10549,150.3648265,209
10550,163.4550149,209
10551,143.3198413,209
10552,161.5708394,209
10553,124.2792532,209
10554,146.6714638,209
10555,147.8160948,209
10556,170.96,209
10557,167.7983006,209
10558,169.6170235,209
10559,185.463416,209
10560,169.7219425,209
10561,173.3183731,209
10562,186.2945472,209
10563,177.3337417,209
10564,180.1406904,209
10565,175.7942191,209
10566,175.6145632,209
10567,167.8325137,209
10568,150.0299347,209
10569,172.6434925,209
10570,183.0120568,209
10571,175.4929557,209
10572,164.6907324,209
10573,150.7152428,209
10574,158.8459834,209
10575,180.1187822,209
10576,182.7736309,209
10577,164.9508089,209
10578,151.7445603,209
10579,151.2706424,209
10580,171.2967224,209
10581,174.5328027,209
10582,189.3358653,209
10583,167.6475929,209
10584,165.5618273,209
10585,160.8491176,209
10586,176.3734408,209
10587,175.2901792,209
10588,160.1993509,209
10589,178.5566479,209
10590,169.1166479,209
10591,158.0216479,209
10592,178.3216479,209
10593,173.1916479,209
10594,180.2316479,209
10595,166.6366479,209
10596,185.1629788,209
10597,139.5116479,209
10598,158.8204923,209
10599,162.0166479,209
10600,193.5666479,209
10601,174.6216479,209
10602,163.0016479,209
10603,166.4594336,209
10604,161.3916479,209
10605,165.6771349,209
10606,162.8466479,209
10607,168.9366479,209
10608,166.1016479,209
10609,169.9766479,209
10610,191.2152336,209
