En,NUM,ENTRY,REP,k,ER,PH,GY
1,514,NEC128,2,NEC1282,0.9,13.1,279.45
1,902,NEC128,3,NEC1283,0.87,14.37,470.97
1,126,NEC129,1,NEC1291,0.83,46.73,.
1,515,NEC129,2,NEC1292,0.89,12,256.63
1,903,NEC129,3,NEC1293,0.87,14.23,799.47
1,127,NEC130,1,NEC1301,0.5,14.1,.
1,516,NEC130,2,NEC1302,0.47,13,126.5
1,904,NEC130,3,NEC1303,0.07,7.5,72.17
1,128,NEC131,1,NEC1311,0.9,19.17,.
1,517,NEC131,2,NEC1312,0.97,13.8,181.48
1,905,NEC131,3,NEC1313,0.93,18.2,499.25
1,129,NEC132,1,NEC1321,0.77,16.33,455.12
1,518,NEC132,2,NEC1322,0.53,13.5,28.56
1,906,NEC132,3,NEC1323,0.83,8.83,573.51
1,130,NEC133,1,NEC1331,1,16.5,241.61
1,519,NEC133,2,NEC1332,1,15.3,161.74
1,907,NEC133,3,NEC1333,0.93,13.97,270.36
1,131,NEC134,1,NEC1341,0.97,15.2,698.59
1,520,NEC134,2,NEC1342,0.9,13.33,138.14
1,908,NEC134,3,NEC1343,0.6,13.07,608.2
1,132,NEC135,1,NEC1351,0.63,18,.
1,521,NEC135,2,NEC1352,0.83,16,340.37
1,909,NEC135,3,NEC1353,0.57,14.5,579.06
1,133,NEC136,1,NEC1361,0.47,21.5,.
1,522,NEC136,2,NEC1362,0.23,20.83,95.03
1,910,NEC136,3,NEC1363,0.7,18.47,558.09
1,134,NEC137,1,NEC1371,0.47,12.83,322.17
1,523,NEC137,2,NEC1372,0.63,14.5,516.22
1,911,NEC137,3,NEC1373,0.7,15.9,459.34
1,135,NEC138,1,NEC1381,0.97,20.17,114.2
1,524,NEC138,2,NEC1382,0.83,15.67,355.12
1,912,NEC138,3,NEC1383,0.87,17.53,243.22
1,136,NEC139,1,NEC1391,0.9,15.9,621.27
1,525,NEC139,2,NEC1392,0.87,14.6,177.09
1,913,NEC139,3,NEC1393,0.77,14.03,173.48
1,137,NEC140,1,NEC1401,0.83,19.93,1444.36
1,526,NEC140,2,NEC1402,0.87,22.13,.
1,914,NEC140,3,NEC1403,0.87,18.3,782.53
1,138,NEC141,1,NEC1411,0.43,14.9,32.49
1,527,NEC141,2,NEC1412,0.17,11.33,61.14
1,915,NEC141,3,NEC1413,0.2,10.43,53.68
1,139,NEC142,1,NEC1421,0.93,12,926.24
1,528,NEC142,2,NEC1422,0.93,13.87,760.23
1,916,NEC142,3,NEC1423,0.9,14.73,836.45
1,140,NEC143,1,NEC1431,1,14.5,.
1,529,NEC143,2,NEC1432,1,14.03,453.93
1,917,NEC143,3,NEC1433,0.93,13.5,711.5
1,141,NEC144,1,NEC1441,0.9,13.13,368.22
1,530,NEC144,2,NEC1442,1,15.03,7.3
1,918,NEC144,3,NEC1443,0.83,14.9,377.79
1,142,NEC145,1,NEC1451,0.4,15.33,227.98
1,531,NEC145,2,NEC1452,0.93,10.57,306.33
1,919,NEC145,3,NEC1453,0.97,12.43,645.69
1,143,NEC146,1,NEC1461,0.93,17.73,555.87
1,532,NEC146,2,NEC1462,0.83,16.5,686.19
1,920,NEC146,3,NEC1463,0.97,16.57,761.14
1,144,NEC147,1,NEC1471,0.83,12.7,173.15
1,533,NEC147,2,NEC1472,0.8,13.9,24.17
1,921,NEC147,3,NEC1473,0.7,12.67,.
1,145,NEC148,1,NEC1481,0.9,14.8,454.67
1,534,NEC148,2,NEC1482,0.8,15.1,293.72
1,922,NEC148,3,NEC1483,0.7,13.67,470.54
1,146,NEC149,1,NEC1491,0.53,15.33,943.04
1,535,NEC149,2,NEC1492,0.73,14.93,295.08
1,923,NEC149,3,NEC1493,0.7,14.7,595.55
1,147,NEC150,1,NEC1501,0.9,13.4,814.8
1,536,NEC150,2,NEC1502,0.97,14.47,576.36
1,924,NEC150,3,NEC1503,0.93,13.47,358.1
1,148,NEC151,1,NEC1511,0.8,13.5,592.27
1,537,NEC151,2,NEC1512,0.87,13.33,233.64
1,925,NEC151,3,NEC1513,0.8,14.67,371.83
1,149,NEC152,1,NEC1521,0.87,11.4,195
1,538,NEC152,2,NEC1522,1,13.5,30.43
1,926,NEC152,3,NEC1523,0.93,13.57,406.33
1,150,NEC153,1,NEC1531,0.93,14.33,.
1,539,NEC153,2,NEC1532,0.93,14,42.6
1,927,NEC153,3,NEC1533,0.97,13.77,31.11
1,151,NEC154,1,NEC1541,0.59,15.77,60.73
1,540,NEC154,2,NEC1542,0.63,16.33,61.38
1,928,NEC154,3,NEC1543,0.77,14.23,219.75
1,152,NEC155,1,NEC1551,0.93,13,119.41
1,541,NEC155,2,NEC1552,0.97,13.73,637.74
1,929,NEC155,3,NEC1553,1,13.27,614.98
1,153,NEC156,1,NEC1561,0.83,18.03,.
1,542,NEC156,2,NEC1562,0.7,15.53,225.48
1,930,NEC156,3,NEC1563,0.79,14.17,472.05
1,154,NEC157,1,NEC1571,1.07,15.8,288.24
1,543,NEC157,2,NEC1572,0.97,18.17,.
1,931,NEC157,3,NEC1573,0.97,13.33,161.71
1,155,NEC158,1,NEC1581,0.93,14.23,383.12
1,544,NEC158,2,NEC1582,1,12.33,186.66
1,932,NEC158,3,NEC1583,0.9,11.4,85.57
1,156,NEC159,1,NEC1591,0.93,18.47,799.5
1,545,NEC159,2,NEC1592,0.97,17.83,559.52
1,933,NEC159,3,NEC1593,1,18.03,1749.01
1,157,NEC160,1,NEC1601,0.27,16.9,.
1,546,NEC160,2,NEC1602,0.23,13,193.41
1,934,NEC160,3,NEC1603,0.3,14.2,303.61
1,158,NEC161,1,NEC1611,0.9,16.97,501.3
1,547,NEC161,2,NEC1612,0.9,16.83,160.13
1,935,NEC161,3,NEC1613,0.93,15.07,515.41
1,159,NEC162,1,NEC1621,0.7,15.5,488.88
1,548,NEC162,2,NEC1622,0.9,14.9,787.21
1,936,NEC162,3,NEC1623,1,12.57,759.39
1,160,NEC163,1,NEC1631,0.97,15.5,731.93
1,549,NEC163,2,NEC1632,0.97,15.17,565.72
1,937,NEC163,3,NEC1633,1,12.23,677.53
1,161,NEC164,1,NEC1641,0.83,13.63,541.9
1,550,NEC164,2,NEC1642,0.93,14.27,309.92
1,938,NEC164,3,NEC1643,0.97,12.43,447.63
1,162,NEC165,1,NEC1651,0.83,15.87,470.59
1,551,NEC165,2,NEC1652,0.7,15,162.56
1,939,NEC165,3,NEC1653,1,15.23,476.31
1,163,NEC166,1,NEC1661,0.93,16.3,814.25
